id,name,genre,grade_int,rating,ascents_done_count,overhang,vertical,slab,crag_name
38551,Tio tigrar,Sport,900,0.9,10,1.0,0.0,0.0,Dödskalleberget
41942,Gobiten,Sport,850,0.8889,9,1.0,0.0,0.0,Örnberget
58420,Arrêtera,Sport,600,0.8889,9,1.0,0.0,0.0,Skevik
19739,Konsum,Sport,600,0.8788,66,1.0,0.0,0.0,Skevik
41375,Yohoia,Sport,650,0.875,24,0.0,1.0,0.0,Ekoberget
26527,Hugo,Sport,650,0.8713,102,1.0,0.0,0.0,Örnberget
25218,Freaky deaky,Sport,800,0.8679,53,1.0,0.0,0.0,Nacka Kvarn
18784,Nubben i snöret,Sport,650,0.8667,15,0.0,1.0,0.0,Örnberget
44252,Ingen Vinner,Sport,900,0.8667,15,1.0,0.0,0.0,Skevik
133627,Dörren,Sport,900,0.8571,7,1.0,0.0,0.0,Flaten
43924,Centralpelaren,Traditional,450,0.8571,7,0.0,1.0,0.0,Skevik
18795,Kapten Haddock,Sport,700,0.8493,74,1.0,0.0,0.0,Finnsvedsberget
28570,Vårkåt,Sport,600,0.8472,73,0.0,1.0,0.0,Ekoberget
93605,Stuka,Sport,750,0.8462,13,1.0,0.0,1.0,Gåseborg
95452,Inga fler kratrar,Sport,650,0.8462,13,0.0,0.0,1.0,Gåseborg
45985,Harpoon,Traditional,200,0.84,25,0.0,0.0,1.0,Träskberget
97321,McCall,Sport,850,0.8333,18,1.0,0.0,0.0,Flaten
97319,Pusselipuss,Sport,900,0.8333,6,1.0,0.0,0.0,Träskberget
63262,Tambora,Sport,850,0.8333,6,1.0,0.0,0.0,Törnskogsklippan
65315,Långfredagsleden,Traditional,400,0.8333,6,0.0,1.0,0.0,Häggsta
47246,Scary Monsters,Partially bolted,500,0.8333,6,0.0,0.0,1.0,Träskberget
43180,Edge leden,Sport,900,0.8333,6,1.0,0.0,0.0,Älvnäs
47263,Prima Ballerina,Sport,650,0.8261,23,0.0,0.0,1.0,Ekoberget
39232,Fasta former,Sport,800,0.8235,34,1.0,0.0,0.0,Finnsvedsberget
57070,Slick,Sport,900,0.8182,11,1.0,1.0,0.0,Flaten
65309,Direkta Fyrbulten,Traditional,200,0.8182,11,0.0,0.0,1.0,Häggsta
56734,Snabbare än tiden,Sport,650,0.8182,11,0.0,1.0,0.0,Skevik
18779,Kalaspuffen direkt,Sport,750,0.8182,44,1.0,0.0,0.0,Sjötorpsberget
42655,Ahlgrens,Sport,750,0.8182,11,1.0,0.0,0.0,Ekstubbeberget
65758,Finska flickan,Sport,600,0.8125,16,1.0,0.0,0.0,Sjötorpsberget
75425,Solleden?,Partially bolted,500,0.8,5,0.0,1.0,0.0,Solberget
41983,Pikaia,Sport,800,0.8,5,0.0,0.0,1.0,Ekoberget
57072,Longstreet,Sport,950,0.8,5,1.0,0.0,0.0,Flaten
300424,Lacoste,Sport,700,0.8,5,1.0,0.0,0.0,Henriksdal
214353,Flaskdans,Sport,650,0.8,5,1.0,0.0,0.0,Uddeuddberget
243886,Än är inte sista bulten satt på Tyresö,Partially bolted,380,0.8,15,0.0,0.0,1.0,Träskberget
45926,Livet är underbart,Sport,900,0.8,5,1.0,0.0,0.0,Noret
41385,Dans på kant,Sport,600,0.7917,24,1.0,0.0,0.0,Ekstubbeberget
300445,Adidas,Sport,600,0.7895,19,1.0,0.0,0.0,Henriksdal
19694,Totalvägra,Sport,700,0.7879,134,1.0,0.0,0.0,Nacka Kvarn
19710,Spitfire,Sport,700,0.7831,83,1.0,0.0,1.0,Gåseborg
57093,Natten,Sport,650,0.7778,36,1.0,0.0,0.0,Flaten
191071,Upp igen,Sport,650,0.7778,9,1.0,0.0,0.0,Flaten
42319,Sno från dom rika direkt,Sport,750,0.7778,9,1.0,0.0,0.0,Träskberget
45823,Inget för pygméer,Sport,750,0.7778,9,0.0,0.0,1.0,Dödskalleberget
42248,Vad kvinnor inte vill ha,Sport,900,0.7692,13,1.0,0.0,0.0,Noret
57065,Premiär,Sport,800,0.7647,34,1.0,0.0,0.0,Flaten
65145,Ghetto rebel,Sport,600,0.7647,51,1.0,1.0,0.0,Sjötorpsberget
49950,"Blötkaken, variant på",Sport,550,0.7619,42,0.0,1.0,0.0,Örnberget
49945,Lysande utsikter,Sport,750,0.76,25,1.0,0.0,0.0,Örnberget
26865,No fuel for the pilgrims,Sport,1050,0.75,8,1.0,0.0,0.0,Anneberg
311137,Livets pussel,Sport,600,0.75,8,0.0,1.0,1.0,Dyviksudd
41110,Möjlig omöjlighet,Sport,750,0.75,4,0.0,1.0,0.0,Örnberget
289631,Somos potitos,Sport,400,0.75,4,0.0,1.0,1.0,Träskberget
64512,Sjöexpress,Sport,500,0.75,4,1.0,0.0,0.0,"Ekholmsnäs, Stockholm"
245125,Johnnies Sykel,Traditional,300,0.75,4,0.0,0.0,1.0,Träskberget
41973,Exposed,Sport,750,0.75,4,1.0,1.0,0.0,Älvnäs
